"id","source_url","local_path","note"
"43","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1245620/header.jpg","docs/plans/images/web_refs/web_ref_00043.jpg",
"44","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1245620/capsule_616x353.jpg","docs/plans/images/web_refs/web_ref_00044.jpg",
"45","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1245620/library_hero.jpg","docs/plans/images/web_refs/web_ref_00045.jpg",
"46","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1245620/capsule_231x87.jpg","docs/plans/images/web_refs/web_ref_00046.jpg",
"47","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1245620/page_bg_generated_v6b.jpg","docs/plans/images/web_refs/web_ref_00047.jpg",
"48","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/892970/header.jpg","docs/plans/images/web_refs/web_ref_00048.jpg",
"49","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/892970/capsule_616x353.jpg","docs/plans/images/web_refs/web_ref_00049.jpg",
"50","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/892970/library_hero.jpg","docs/plans/images/web_refs/web_ref_00050.jpg",
"51","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/892970/capsule_231x87.jpg","docs/plans/images/web_refs/web_ref_00051.jpg",
"52","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/892970/page_bg_generated_v6b.jpg","docs/plans/images/web_refs/web_ref_00052.jpg",
"53","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1222670/header.jpg","docs/plans/images/web_refs/web_ref_00053.jpg",
"54","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1222670/capsule_616x353.jpg","docs/plans/images/web_refs/web_ref_00054.jpg",
"55","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1222670/library_hero.jpg","docs/plans/images/web_refs/web_ref_00055.jpg",
"56","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1222670/capsule_231x87.jpg","docs/plans/images/web_refs/web_ref_00056.jpg",
"57","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1222670/page_bg_generated_v6b.jpg","docs/plans/images/web_refs/web_ref_00057.jpg",
"58","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/227940/header.jpg","docs/plans/images/web_refs/web_ref_00058.jpg",
"59","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/227940/capsule_616x353.jpg","docs/plans/images/web_refs/web_ref_00059.jpg",
"60","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/227940/library_hero.jpg","docs/plans/images/web_refs/web_ref_00060.jpg",
"61","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/227940/capsule_231x87.jpg","docs/plans/images/web_refs/web_ref_00061.jpg",
"62","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/227940/page_bg_generated_v6b.jpg","docs/plans/images/web_refs/web_ref_00062.jpg",
"63","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1203220/header.jpg","docs/plans/images/web_refs/web_ref_00063.jpg",
"64","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1203220/capsule_616x353.jpg","docs/plans/images/web_refs/web_ref_00064.jpg",
"65","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1203220/library_hero.jpg","docs/plans/images/web_refs/web_ref_00065.jpg",
"66","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1203220/capsule_231x87.jpg","docs/plans/images/web_refs/web_ref_00066.jpg",
"67","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1203220/page_bg_generated_v6b.jpg","docs/plans/images/web_refs/web_ref_00067.jpg",
"68","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/108600/header.jpg","docs/plans/images/web_refs/web_ref_00068.jpg",
"69","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/108600/capsule_616x353.jpg","docs/plans/images/web_refs/web_ref_00069.jpg",
"70","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/108600/library_hero.jpg","docs/plans/images/web_refs/web_ref_00070.jpg",
"71","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/108600/capsule_231x87.jpg","docs/plans/images/web_refs/web_ref_00071.jpg",
"72","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/108600/page_bg_generated_v6b.jpg","docs/plans/images/web_refs/web_ref_00072.jpg",
"73","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/386360/header.jpg","docs/plans/images/web_refs/web_ref_00073.jpg",
"74","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/386360/capsule_616x353.jpg","docs/plans/images/web_refs/web_ref_00074.jpg",
"75","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/386360/library_hero.jpg","docs/plans/images/web_refs/web_ref_00075.jpg",
"76","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/386360/capsule_231x87.jpg","docs/plans/images/web_refs/web_ref_00076.jpg",
"77","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/386360/page_bg_generated_v6b.jpg","docs/plans/images/web_refs/web_ref_00077.jpg",
"78","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/49520/header.jpg","docs/plans/images/web_refs/web_ref_00078.jpg",
"79","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/49520/capsule_616x353.jpg","docs/plans/images/web_refs/web_ref_00079.jpg",
"80","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/49520/library_hero.jpg","docs/plans/images/web_refs/web_ref_00080.jpg",
"81","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/49520/capsule_231x87.jpg","docs/plans/images/web_refs/web_ref_00081.jpg",
"82","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/49520/page_bg_generated_v6b.jpg","docs/plans/images/web_refs/web_ref_00082.jpg",
"83","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/251570/header.jpg","docs/plans/images/web_refs/web_ref_00083.jpg",
"84","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/251570/capsule_616x353.jpg","docs/plans/images/web_refs/web_ref_00084.jpg",
"85","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/251570/library_hero.jpg","docs/plans/images/web_refs/web_ref_00085.jpg",
"86","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/251570/capsule_231x87.jpg","docs/plans/images/web_refs/web_ref_00086.jpg",
"87","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/251570/page_bg_generated_v6b.jpg","docs/plans/images/web_refs/web_ref_00087.jpg",
"88","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3164500/header.jpg","docs/plans/images/web_refs/web_ref_00088.jpg",
"89","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3164500/library_hero.jpg","docs/plans/images/web_refs/web_ref_00089.jpg",
"90","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3164500/page_bg_generated_v6b.jpg","docs/plans/images/web_refs/web_ref_00090.jpg",
"91","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/899770/header.jpg","docs/plans/images/web_refs/web_ref_00091.jpg",
"92","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/899770/capsule_616x353.jpg","docs/plans/images/web_refs/web_ref_00092.jpg",
"93","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/899770/library_hero.jpg","docs/plans/images/web_refs/web_ref_00093.jpg",
"94","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/899770/capsule_231x87.jpg","docs/plans/images/web_refs/web_ref_00094.jpg",
"95","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/899770/page_bg_generated_v6b.jpg","docs/plans/images/web_refs/web_ref_00095.jpg",
"96","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1623730/header.jpg","docs/plans/images/web_refs/web_ref_00096.jpg",
"97","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1623730/capsule_616x353.jpg","docs/plans/images/web_refs/web_ref_00097.jpg",
"98","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1623730/library_hero.jpg","docs/plans/images/web_refs/web_ref_00098.jpg",
"99","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1623730/capsule_231x87.jpg","docs/plans/images/web_refs/web_ref_00099.jpg",
"100","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1623730/page_bg_generated_v6b.jpg","docs/plans/images/web_refs/web_ref_00100.jpg",
"101","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/739630/header.jpg","docs/plans/images/web_refs/web_ref_00101.jpg",
"102","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/739630/capsule_616x353.jpg","docs/plans/images/web_refs/web_ref_00102.jpg",
"103","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/739630/library_hero.jpg","docs/plans/images/web_refs/web_ref_00103.jpg",
"104","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/739630/capsule_231x87.jpg","docs/plans/images/web_refs/web_ref_00104.jpg",
"105","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/739630/page_bg_generated_v6b.jpg","docs/plans/images/web_refs/web_ref_00105.jpg",
